Date,sin_month,cos_month
2025-04-01,0.8660254037844387,-0.4999999999999997
2025-05-01,0.4999999999999999,-0.8660254037844386
2025-06-01,1.2246467991473532e-16,-1.0
2025-07-01,-0.4999999999999997,-0.8660254037844387
2025-08-01,-0.8660254037844383,-0.5000000000000003
2025-09-01,-1.0,-1.8369701987210297e-16
2025-10-01,-0.8660254037844385,0.5
2025-11-01,-0.5000000000000003,0.8660254037844383
2025-12-01,-2.4492935982947064e-16,1.0
2026-01-01,0.4999999999999999,0.8660254037844386
2026-02-01,0.8660254037844385,0.5000000000000001
2026-03-01,1.0,6.123233995736766e-17
2026-04-01,0.8660254037844387,-0.4999999999999997
2026-05-01,0.4999999999999999,-0.8660254037844386
2026-06-01,1.2246467991473532e-16,-1.0
2026-07-01,-0.4999999999999997,-0.8660254037844387
2026-08-01,-0.8660254037844383,-0.5000000000000003
2026-09-01,-1.0,-1.8369701987210297e-16
2026-10-01,-0.8660254037844385,0.5
2026-11-01,-0.5000000000000003,0.8660254037844383
2026-12-01,-2.4492935982947064e-16,1.0
2027-01-01,0.4999999999999999,0.8660254037844386
2027-02-01,0.8660254037844385,0.5000000000000001
2027-03-01,1.0,6.123233995736766e-17
2027-04-01,0.8660254037844387,-0.4999999999999997
2027-05-01,0.4999999999999999,-0.8660254037844386
2027-06-01,1.2246467991473532e-16,-1.0
2027-07-01,-0.4999999999999997,-0.8660254037844387
2027-08-01,-0.8660254037844383,-0.5000000000000003
2027-09-01,-1.0,-1.8369701987210297e-16
2027-10-01,-0.8660254037844385,0.5
2027-11-01,-0.5000000000000003,0.8660254037844383
2027-12-01,-2.4492935982947064e-16,1.0
2028-01-01,0.4999999999999999,0.8660254037844386
2028-02-01,0.8660254037844385,0.5000000000000001
2028-03-01,1.0,6.123233995736766e-17
2028-04-01,0.8660254037844387,-0.4999999999999997
2028-05-01,0.4999999999999999,-0.8660254037844386
2028-06-01,1.2246467991473532e-16,-1.0
2028-07-01,-0.4999999999999997,-0.8660254037844387
2028-08-01,-0.8660254037844383,-0.5000000000000003
2028-09-01,-1.0,-1.8369701987210297e-16
2028-10-01,-0.8660254037844385,0.5
2028-11-01,-0.5000000000000003,0.8660254037844383
2028-12-01,-2.4492935982947064e-16,1.0
2029-01-01,0.4999999999999999,0.8660254037844386
2029-02-01,0.8660254037844385,0.5000000000000001
2029-03-01,1.0,6.123233995736766e-17
2029-04-01,0.8660254037844387,-0.4999999999999997
2029-05-01,0.4999999999999999,-0.8660254037844386
2029-06-01,1.2246467991473532e-16,-1.0
2029-07-01,-0.4999999999999997,-0.8660254037844387
2029-08-01,-0.8660254037844383,-0.5000000000000003
2029-09-01,-1.0,-1.8369701987210297e-16
2029-10-01,-0.8660254037844385,0.5
2029-11-01,-0.5000000000000003,0.8660254037844383
2029-12-01,-2.4492935982947064e-16,1.0
2030-01-01,0.4999999999999999,0.8660254037844386
2030-02-01,0.8660254037844385,0.5000000000000001
